text,sentiment
managing director kari inkinen says sponda leasing operations developed highly favourably,positive
march goldman sachs estimates negative prospects norwegian mobile operations norway telenor asa osl tel sweden teliasonera ab sto tlsn short term,negative
tsla steaming stock relentless moment,positive
marathon estimates value remaining stake protalix million,neutral
whitbread share price climbs q sales growth,positive
incap contract manufacturing subsidiary incap corporation finland,neutral
operating profit totaled eur mn slightly eur mn corresponding period,positive
went market yield guidance area gave us flexibility go th,neutral
rt stockdemons think shorting close might play spy high beta reversinglooks worth shot,negative
vdw combined lxe devices enhances productivity enabling workers use single device perform voice scanning keyboard functions,positive
thus method cut working costs fasten planning building processes,positive
talentum net sales september smaller expected,negative
copyright afx news afx financial news logo registered trademarks afx news limited,neutral
lnkd daily phase retest price experiencing early rejection retest,negative
rbs reportedly appoint howard davies next chairman,neutral
tesco asda sales fall march discounters continueskantar,negative
new version important us introduce bim process based detailed building information model,neutral
sampo plc jarmo salonen head investor relations group communications tel distribution nasdaq omx helsinki principal media financial supervisory authority announcement distributed thomson reuters behalf thomson reuters clients,neutral
barronsonline sees apple share year today growing services business aapl,positive
pharmaceutical market poland global research data services published recently market analysis pharmaceutical markets poland,neutral
altogether finnair canceled flights strike,negative
employer together health personnel supports quitting pays part cost nicotine treatments,neutral
pretax loss totaled eur mn compared loss eur mn corresponding period,neutral
order includes ship cranes delivered container feeders built wenchong shipyard china,neutral
copper lead nickel also dropped hbos hbos plummeted pence saying year,neutral
goog testing day consolidation,positive
joins technopolis kone held various positions within group recently director service business business development kone middle eastern operations,neutral
succeeded increasing market share sold apartment comments mr kari kauniskangas head yit international construction services,positive
profitability ebit compared previousyear period,positive
finnish geosentric net sales decreased eur januarymarch,neutral
plant scheduled completion late february hand areas january two suppliers nokia aspocomp group oyj perlos announced plans establish plants within nokia complex together invest rs crore,neutral
upmkymmene upgraded inline underperform goldman sachs,positive
slump weir leads ftse record high,negative
jan ford struggling face slowing truck suv sales surfeit uptodate gottahave cars,neutral
royal mail breached competition law delivery service changes ofcom claims,negative
cooperation involve arena partners buying share new joint venture company operating alma media home sales vehicle consumer advertising marketplace businesses,neutral
efore plant saarijarvi central finland one largest employers region,neutral
however shortterm rentals becoming popular,neutral
emsa deputy chairman board juri lember told bns wednesday first time heard strike swedish side informed estonian union yet,neutral
tesco closes new chairman dixons carphones john allan frame,positive
device offers multimedia performance along host productivity applications including live stock prices,neutral
sales climbed pct bln eur surpassing mln eur consensus figure,positive
fb turns back early trading,negative
utah capital wanted next us headquarters amer sports corp skiequipment company,neutral
old mutual firstquarter sales buoyed emerging markets,positive
dividend payable february shareholders record january,neutral
sales finland decreased january sales outside finland dropped,negative
furthermore bunge also sign licensing agreement sunnuntai carlshamn mejeri brands,positive
kesko corporation stock exchange release kesko corporation aspo plc today signed agreement aspo acquires share capital kaukotelko ltd subsidiary wholly owned kesko,positive
lulu outlook q lost revenue range million million good,negative
mobile communication wireless broadband provider nokia inc nyse nok today set new financial targets forecasts nokia mobile device industry also nokia siemens networks mobile fixed infrastructure related services market,neutral
poyry plc additional information heikki malinen president ceo poyry plc tel poyry global expert consulting engineering,neutral
danish company flsmidth acknowledged violated patent held finnish metso,neutral
amanda capital investments private equity funds unquoted companies mainly europe,neutral
net interest income eur mn eur mn,positive
jeder betatester erhlt kostenlos sechs monate lang updates und hat laut eigener aussage die mglichkeit die finale version zu beeinflussen,neutral
jp morgan expects scala lower nobel biocare growth forecast current guidance pct well operating margin target current pct,neutral
aviva promises higher dividends boost flagging share price,positive
addition mids always online enable full internet browsing,neutral
fiskars strong portfolio international brands include fiskars iittala gerber silva buster,positive
tesla model x recall adds reliability issues tsla,negative
name buyer disclosed,neutral
net sales vegetable oil business rose eur mn eur mn,positive
agreement benefon forthcoming range twig integrated gps navigation mobile phone devices use jointly developed webbased tracking location technology consumer commercial applications,neutral
following increase huhtamaki registered share capital eur number shares outstanding,neutral
three year turnaround program expected ensure salomon future competitiveness company said,positive
autumn plans expand service st petersburg moscow launch service yekaterinburg russia flying three times week,positive
company profit totaled ls h yearonyear,negative
federal secretary transport communication mexico awarded poyry mexican partner sintra consulting contract connection buenavistacuautitlan suburban railway,positive
fda approves astrazeneca drug advanced lung cancer,positive
order included metso fourth quarter order backlog,neutral
lieksaare oy earlier regarded control saarelainen oy individual shareholders shareholder agreement,neutral
ragutis controlled finnish brewery reported percent rise beer sales million litres held percent market share,positive
mcp rolling new intraday low bottom pickers continue get destroyed,negative
company annual turnover eur,neutral
branches finland annual revenue finland,neutral
portfolio comprises leasable space vacancy rate roughly let around tenants two largest swedish government ericsson,neutral
wpp boosts sales despite cautious clients,positive
mediumterm operative targets company remain unchanged,neutral
adp news feb finnish retailer kesko oyj hel kesbv said today total sales excluding value added tax vat stood eur million usd january yearonyea,negative
consumers well received packed fresh meat,positive
corrected chapter entirety,neutral
major part deliveries include different ac cxe amplifier solutions products dinh telecom company acquired teleste last spring,neutral
tietoenator uses nokia intellisync mobile suite wireless email calendar device management capabilities company extend services customers,positive
provide heating form hot water sawmill needs,neutral
however net sales declined eur million eur billion,negative
second quarter raute net loss narrowed eur eur million period,positive
dgi technical alerts gilligans island buy setup stochastic buy signal lizard bullish hammer candlestick wid,positive
record date dividend distribution march,neutral
ih move enhance growth,positive
ebrd using funds provide million loan b portion million euros syndicated two finnish commercial banks nordea bank finland plc million euros pohjola bank plc million euros,neutral
stockholm march cybercom cybercom group hightech consultancy offers global sourcing endtoend solutions,neutral
said losing five families month economy many make alternative arrangements save money,negative
milan afx italian shipping group grimaldi increased stake finnish company finnlines pct pct held june according news agency ansa,neutral
commenting deal shane lennon svp marketing product development gypsii said,neutral
external net sales printing business fell partly due termination printing contract ilkkayhtyma printing house iprint oy sector player hss media ab december fall printing prices,neutral
group intends relocate warehouse office space loudeac saint marcel morvillars east country already operates hook manufacturing distribution unit,neutral
firm headquartered vantaa southern finland employees,neutral
pm omx helsinki pct lower omx helsinki pct volume mln eur,neutral
honored recognized gartner specialist business process modeling analysis company many largest software vendors world,positive
westpac banking corp issue benchmark year frn deal euros,neutral
includes company brand share data category well distribution channel data,neutral
new shares subscribed stock options shareholder rights commence date entered trade register,neutral
aapl price momentum weakening going close,negative
acquisition solteq expand solutions offering microsoft dynamics business software products,positive
company profit totaled ls,neutral
leed internationally recognized green building certification system developed us green building council,neutral
however market share shrank per cent per cent year earlier,negative
talktalk hires bae systems investigate cyber attack,negative
looks like booking one way ticket week near losing week lulu,neutral
ftse led lower ms glaxosmithkline,negative
exercise price option based safran software solutions license maintenance sales well result company,neutral
fullyear operating result million negative,negative
company said production volumes far indicate circuit capable targeted output rate tonnes per day million tonnes year,neutral
jun boy genius report delivered newstex nokia nyse nok n huh,neutral
come decision based preliminary economic operational environmental findings karvinen said,neutral
new majority owners aspocomp thailand co ltd certain private persons belonging immediate circle aspocomp present joint venture partner saha pathana interholding plc,neutral
mln euro mln base acquisition price paid cash rest subscription offering total new ixonos shares,neutral
established srv group private finnish construction concern operations finland baltic countries russia,neutral
business section also includes ahlstrom sustainability report,neutral
lemiste city environment knowledgebased economy providing work people total turnover companies amounting eek bn said lo prnits chairman supervisory board lemiste city mainor,neutral
jacobs supporting storengy investment developing storage sites since owner engineer,neutral
company earlier said considering different strategic options struggling lowcost mobile operator including divestment holding,neutral
sainsburys asda tesco morrisons cut petrol prices oil falls,negative
barclays sells benchmark indices unit bloomberg,positive
operating profit fourth quarter fell eurm eurm year earlier,neutral
finnish forestry company upmkymmene waste management company lassila tikanoja said jan planning produce ethanol energy commercial industrial waste,neutral
isms disclose financial results daily said,neutral
contract covers manufacturing surfacetreatment installation steel structures,neutral
finnish metal industry solutions supplier outotec oyj net profit rose mln euro mln first nine months mln euro mln period,positive
deal know pay sekm usd meur cash stock,neutral
first nine months company net profit rose eurm eurm corresponding period,positive
aapl dma turned macd crossover halfahair away weekly eod break likely,positive
protalix million cash sales,neutral
bearish outside day tuesday significant day resistance still intact opinion sds,negative
rights reserved,neutral
operated nokia supported nokia netact network service management system,neutral
mr priit kasak balti metsamasina owner said rakverebased company wishes increase valmet market share third couple years,positive
shire sees baxalta deal closing expected new rules,positive
sainsbury cfo rogers replace home retail ceo walden,neutral
marathon percent stake plx said according bloomberg,neutral
simmons elected dcuc chairman portsmouth nhgordon simmons ceo service credit union elected chairman defense credit union council term,neutral
sanoma news advertising sales decreased year,negative
pharmaceutical market czech republic global research data services published recently market analysis pharmaceutical markets czech republic,neutral
finnish construction company yit reducing number startups marketfinanced residential units previously announced,neutral
cash flow operations recent quarter also reached eight year low,neutral
tietoenator pct extending recent lows last week secondquarter report dealers said,negative
maritime administration said ships ignored warnings icy conditions,negative
synergy pharma soars today positive phase results sgyp,positive
operating profit rose eur mn eur mn corresponding period,positive
making matters difficult company said grappling higher oil gas prices pushed cost energy raw materials transportation,negative
vrtx vertex monthly lower hilower lo long term uptrend intract far,positive
financial details disclosed,neutral
include software development internet mobile telephone content communications valueadded software financial services security applications systems integration electronics ebrd informed,neutral
yit lodged counter claims neste oil totaling eurm primarily based work carried contract additional costs incurred due prolongation project,neutral
follow berkshire hathaway apple stock,neutral
total amount subscription prices recorded fund invested nonrestricted equity,neutral
tsla th wave hour chart hammer candle developing close sma might good spot calls,positive
strongest growth seen new markets russia czech republic slovakia,positive
tower engineers created degree westward lean four times inclination leaning tower pisa using diagrid structures aligned geometrically using tekla structures bim building information modeling software,neutral
amer bought salomon adidas october said job cuts aimed boosting competitiveness,neutral
acando ab acanb ss fell percent kronor lowest close since dec,negative
measures suominen corporation aims ensure competitiveness flexible packaging business long term,positive
ifhedieshedies bullhorn znga shorts getting nervous,positive
financial statements release available publishing company internet pages,neutral
world glass coming egypt invite visitors around world attend glass world exhibition register,neutral
comparable operating profit totaled eur mn eur mn corresponding period representing net sales,negative
raw materials come europe us paid euros us dollars sales take place rubles,neutral
adpnews may finnish cutlery hand tools maker fiskars oyj abp hel fisas said today net profit declined eur million usd first quarter eur million correspond,neutral
maximum new shares subscribed exercising b options stock option plan,neutral
inspects companys strategic strengths weaknesses,neutral
planned closing date provided,neutral
lemminkainen group headquartered helsinki finland operates sectors construction industry civil engineering building contracting technical building services building materials industry,neutral
implementation deal subject approval finnish competition authority,neutral
microsoft also churned courtship agreeing use navteq mapping service offered company nokia bought billion years ago,positive
geosolutions team provides intriguing new technology combining gps mobilebased technologies together internetbased social networking,neutral
c expo signature show dongguan supported dongguan municipal government every year featuring computer accessories software communication network products,neutral
pharmaceuticals poland brandnew market analysis gives clear overview actual situation future outlook pharmaceutical market poland,neutral
trading new shares right dividends distributions funds start exchange helsinki tomorrow,neutral
dualfuel engines vessel operate liquefied natural gas lng low emissions,neutral
among finnish shares traded us stora enso closed pct lower eur upmkymmene pct eur metso pct eur,neutral
addition presentations held president ceo kai telanne cfo tuomas itkonen participants opportunity discuss members company management,neutral
change holdings accordance chapter section finnish securities markets act described,neutral
capman partner able develop business continue focus providing quality restaurant services customers says christopher wynne ceo papa john russia,positive
cranes would installed onboard two freighters ordered singaporean ship owner masterbulk,neutral
business divested generates consolidated net sales eur million annually currently employees,neutral
adpnews feb finnish real estate investor sponda oyj hel sdav said today slipped net loss eur million usd profit eur million,neutral
company eur bn assets counts among five largest shareholders finnish insurers ilmarinen varma well finnish state pension fund ver,neutral
addition employees laid notice whole workforce laid short periods needed,neutral
chessnwine iwm minute chart small caps threatening descending triangle breakdown,negative
corporate update c communications ltd finnish technology group teleste corporation omx helsinki tltv reported wednesday february operating profit eur net sales eur year,neutral
stockholmbased nordea bank sto nda said yesterday hired casper von koskull lead corporate merchant banking capital markets unit effective september,neutral
total need staff cuts corresponds manyears,negative
finnish fibers plastic products maker suominen corporation said net loss narrowed mln euro mln first nine months mln euro mln period,positive
companiesfresnillo shares jump silver price breaks,positive
bluewin security available monthly subscription,neutral
operating profit eur mn eur mn,positive
finnish raisio diagnostics launching new dnabased quick tests ensure safety food,positive
nonrecurring costs caused talentum premedia business area restructuring amount mln euro mln included company financial results second quarter,neutral
finnish software developer basware oyj said november us subsidiary basware inc order provide software contract lifecycle management unnamed us medical technology company,positive
chain unite centres end,neutral
important thing keep bank existing customers,neutral
prices stainless steel also rose europe,neutral
sweden gallerix accumulated sek denominated sales eur denominated sales,neutral
isrg isrg short,negative
dara breaking,positive
total new citycon shares nominal value eur per share subscribed april exercising abc options based company stock option plan,neutral
aapl im sure short holding breath hoping miracle lol,positive
management decided end increase cathode copper capacity,neutral
image data produced browser phone server converted bitmapped image sent handset display,neutral
shire says internal synergy goals baxalta deal higher,positive
one largest projects magazine division sanomawsoy sanoma magazines international became launch russian magazine gloriya,neutral
finnish airline finnair starting temporary layoffs cabin crews february,neutral
sellers founders company,neutral
foodservice consumer goods markets served approximately people manufacturing units several sales offices countries,neutral
acquisition frozen foods fish sector long synergies lnnen tehtaat businesses,neutral
gnrc finding support day line far,positive
transaction agreement metsaliitto purchase metsabotnia shares upm mreal,neutral
britains ftse falls back ashtead commodities pressure,negative
sales seppala diminished per cent,neutral
bbry bye bye sammy hello bb sounds like well see green tomorrow,positive
capacity cut passenger load factor percentage points,negative
rockwell collins provider flight deck cabin information management solutions business aircraft operators,neutral
floor area yliopistonrinne project sq building gross area total sq total facilities let,neutral
nflx vision short term consolidation movement higher,positive
theodosopoulos said tellabs could value nokia siemens nortel given leading supply status verizon along highgrowth products,positive
current position manty worked since,neutral
new production plant company would increase capacity meet expected increase demand would improve use raw materials therefore increase production profitability,positive
analyst views astrazeneca shares seen recent volatility,negative
earnings per share eps dropped eur eur,neutral
transaction tikkurila powder coatingsrelated operations company said,neutral
arm holdings plc dominos pizza group plc asos plc musthave growth stocks,neutral
pearl plaza llc joint venture srv shanghai industrial investment holdings co ltd concluded investment decision construction first phase shopping center saint petersburg russia,positive
measures result decreased demand technical design product information,neutral
finnish financial group aktia reports operating profit eur mn januaryseptember eur mn corresponding period,positive
key price watch nflx previous double top reject,negative
